date,home_team,away_team,winner,first_shooter
1987-12-13,Malawi,Zimbabwe,Zimbabwe,Unknown
1987-12-18,Equatorial Guinea,Gabon,Gabon,Unknown
1987-12-27,Ethiopia,Zimbabwe,Ethiopia,Unknown
1988-01-06,South Korea,Egypt,South Korea,Unknown
1988-03-23,Algeria,Nigeria,Nigeria,Unknown
1988-03-26,Morocco,Algeria,Algeria,Unknown
1988-03-31,Germany,Sweden,Sweden,Sweden
1988-05-05,Mali,Senegal,Mali,Unknown
1988-05-08,Guinea,Mali,Guinea,Unknown
1988-05-28,Canada,Greece,Canada,Unknown
1988-07-19,Egypt,Syria,Syria,Unknown
1988-07-21,Iraq,Syria,Iraq,Unknown
1988-09-29,Chile,Ecuador,Ecuador,Unknown
1988-10-16,Eswatini,Tanzania,Eswatini,Unknown
1988-12-06,Central African Republic,Gabon,Gabon,Unknown
1988-12-17,China,Iran,Iran,Unknown
1988-12-18,South Korea,Saudi Arabia,Saudi Arabia,South Korea
1989-04-23,Ghana,Gabon,Gabon,Unknown
1989-04-23,Kenya,Sudan,Kenya,Unknown
1989-08-30,Indonesia,Thailand,Indonesia,Unknown
1989-11-08,Iran,Uganda,Uganda,Unknown
1989-11-12,Iraq,Uganda,Iraq,Unknown
1989-12-11,Chad,Cameroon,Cameroon,Unknown
1989-12-16,Malawi,Uganda,Uganda,Unknown
1990-01-28,Nigeria,Senegal,Nigeria,Unknown
1990-02-04,United States,Colombia,Colombia,Colombia
1990-02-20,Colombia,Russia,Colombia,Colombia
1990-05-18,Zimbabwe,Eswatini,Zimbabwe,Unknown
1990-06-25,Republic of Ireland,Romania,Republic of Ireland,Romania
1990-06-30,Yugoslavia,Argentina,Argentina,Argentina
1990-07-03,Italy,Argentina,Argentina,Italy
1990-07-04,Germany,England,Germany,England
1990-08-03,China,South Korea,South Korea,Unknown
1990-10-01,Saudi Arabia,North Korea,North Korea,Unknown
1990-10-06,Iran,North Korea,Iran,Unknown
1990-12-17,Tanzania,Uganda,Uganda,Unknown
1990-12-17,Central African Republic,Equatorial Guinea,Central African Republic,Unknown
1991-01-21,Cameroon,Algeria,Cameroon,Unknown
1991-01-21,Senegal,Ivory Coast,Ivory Coast,Unknown
1991-01-22,Senegal,Algeria,Senegal,Unknown
1991-01-23,Ivory Coast,Cameroon,Ivory Coast,Unknown
1991-06-14,South Korea,Australia,South Korea,Unknown
1991-06-16,Italy,Russia,Italy,Russia
1991-07-07,United States,Honduras,United States,United States
1991-08-08,Czechoslovakia,Yugoslavia,Czechoslovakia,Unknown
1991-09-20,Fiji,Solomon Islands,Fiji,Unknown
1991-09-28,Egypt,Mali,Egypt,Unknown
1991-12-02,Indonesia,Singapore,Indonesia,Unknown
1991-12-04,Indonesia,Thailand,Indonesia,Unknown
1992-01-23,Cameroon,Ivory Coast,Ivory Coast,Ivory Coast
1992-01-26,Ghana,Ivory Coast,Ivory Coast,Ivory Coast
1992-06-22,Netherlands,Denmark,Denmark,Netherlands
1992-06-27,Cuba,Martinique,Martinique,Unknown
1992-08-29,Japan,South Korea,Japan,Unknown
1992-09-15,Syria,Egypt,Egypt,Unknown
1992-11-08,China,United Arab Emirates,China,Unknown
1992-11-25,Uganda,Zambia,Uganda,Unknown
1993-01-23,Japan,Switzerland,Switzerland,Unknown
1993-02-20,Finland,Estonia,Finland,Unknown
1993-02-24,Argentina,Denmark,Argentina,Argentina
1993-05-27,Bolivia,Paraguay,Bolivia,Unknown
1993-05-28,Martinique,Saint Kitts and Nevis,Martinique,Unknown
1993-05-30,Jamaica,Martinique,Martinique,Unknown
1993-06-17,Singapore,Myanmar,Singapore,Unknown
1993-06-26,Colombia,Uruguay,Colombia,Colombia
1993-06-27,Brazil,Argentina,Argentina,Brazil
1993-07-01,Colombia,Argentina,Argentina,Colombia
1993-08-15,Australia,Canada,Australia,Australia
1993-10-24,Burundi,Guinea,Guinea,Unknown
1993-12-26,Nepal,India,Nepal,Unknown
1994-01-29,Burkina Faso,Guinea,Burkina Faso,Unknown
1994-04-06,Nigeria,Ivory Coast,Nigeria,Nigeria
1994-07-05,Mexico,Bulgaria,Bulgaria,Mexico
1994-07-10,Romania,Sweden,Sweden,Sweden
1994-07-17,Brazil,Italy,Brazil,Italy
1994-12-08,Tanzania,Uganda,Tanzania,Unknown
1995-01-10,Denmark,Mexico,Denmark,Denmark
1995-01-13,Mexico,Nigeria,Mexico,Nigeria
1995-02-26,Japan,South Korea,Japan,Unknown
1995-03-31,India,Bangladesh,India,Unknown
1995-05-21,Antigua and Barbuda,Saint Kitts and Nevis,Antigua and Barbuda,Unknown
1995-06-09,Paraguay,Bolivia,Paraguay,Unknown
1995-07-16,Paraguay,Colombia,Colombia,Colombia
1995-07-17,United States,Mexico,United States,United States
1995-07-17,Brazil,Argentina,Brazil,Brazil
1995-07-23,Uruguay,Brazil,Uruguay,Uruguay
1995-08-24,Fiji,Solomon Islands,Solomon Islands,Unknown
1995-11-28,Mauritania,Sierra Leone,Sierra Leone,Unknown
1995-12-02,Gabon,Cameroon,Cameroon,Unknown
1995-12-02,Algeria,Ivory Coast,Ivory Coast,Unknown
1995-12-06,Ethiopia,Zanzibar,Zanzibar,Unknown
1995-12-07,Honduras,Costa Rica,Honduras,Unknown
1995-12-25,Bangladesh,Sri Lanka,Bangladesh,Unknown
1995-12-27,Sri Lanka,Nepal,Sri Lanka,Unknown
1996-01-28,Gabon,Tunisia,Tunisia,Tunisia
1996-02-22,Japan,Sweden,Sweden,Unknown
1996-04-28,Barbados,Jamaica,Jamaica,Unknown
1996-05-05,Guyana,Suriname,Suriname,Unknown
1996-06-05,Martinique,Suriname,Martinique,Unknown
1996-06-22,England,Spain,England,England
1996-06-22,France,Netherlands,France,Netherlands
1996-06-26,France,Czech Republic,Czech Republic,France
1996-06-26,England,Germany,Germany,England
1996-08-25,Ethiopia,Uganda,Ethiopia,Unknown
1996-11-29,Sudan,Kenya,Sudan,Unknown
1996-12-11,Morocco,Croatia,Croatia,Unknown
1996-12-12,Croatia,Czech Republic,Croatia,Unknown
1996-12-19,Iran,Saudi Arabia,Saudi Arabia,Iran
1996-12-21,Iran,Kuwait,Iran,Kuwait
1996-12-21,United Arab Emirates,Saudi Arabia,Saudi Arabia,Saudi Arabia
1996-12-27,Benin,Burkina Faso,Benin,Unknown
1997-02-07,Russia,Serbia,Russia,Unknown
1997-04-10,India,Iraq,Iraq,Unknown
1997-06-22,Ecuador,Mexico,Mexico,Ecuador
1997-07-10,Trinidad and Tobago,Jamaica,Trinidad and Tobago,Unknown
1997-10-18,Indonesia,Thailand,Thailand,Unknown
1997-10-20,Haiti,Cuba,Haiti,Unknown
1997-10-22,Cuba,Cameroon,Cuba,Unknown
1997-12-07,Gambia,Guinea,Guinea,Unknown
1998-01-31,Egypt,South Korea,South Korea,Unknown
1998-01-31,Iran,Chile,Iran,Unknown
1998-02-21,Burkina Faso,Tunisia,Burkina Faso,Burkina Faso
1998-02-21,Ivory Coast,Egypt,Egypt,Ivory Coast
1998-02-27,Burkina Faso,DR Congo,DR Congo,DR Congo
1998-04-22,Hungary,North Macedonia,Hungary,Unknown
1998-05-29,Belgium,England,Belgium,Belgium
1998-05-29,Morocco,France,Morocco,Morocco
1998-06-30,Argentina,England,Argentina,Argentina
1998-07-03,France,Italy,France,France
1998-07-07,Brazil,Netherlands,Brazil,Brazil
1998-08-15,Réunion,Madagascar,Réunion,Unknown
1998-09-05,Indonesia,Thailand,Indonesia,Unknown
1998-11-17,Guatemala,Honduras,Guatemala,Unknown
1998-11-18,Guatemala,Mexico,Guatemala,Unknown
1998-12-02,United Arab Emirates,North Korea,United Arab Emirates,Unknown
1998-12-14,Qatar,Kuwait,Kuwait,Unknown
1999-05-22,Malawi,Namibia,Namibia,Unknown
1999-06-16,Thailand,New Zealand,Thailand,Unknown
1999-06-19,New Zealand,Poland,Poland,Unknown
1999-07-10,Mexico,Peru,Mexico,Mexico
1999-07-10,Paraguay,Uruguay,Uruguay,Uruguay
1999-07-13,Uruguay,Chile,Uruguay,Uruguay
1999-07-18,Eswatini,Zimbabwe,Eswatini,Unknown
1999-07-31,Namibia,South Africa,Namibia,Unknown
1999-08-03,Rwanda,Kenya,Kenya,Unknown
1999-08-07,Rwanda,Burundi,Rwanda,Unknown
1999-08-07,Zambia,Mozambique,Zambia,Unknown
1999-08-14,Indonesia,Singapore,Indonesia,Unknown
1999-08-28,Namibia,Eswatini,Namibia,Unknown
1999-11-26,Gabon,Togo,Togo,Unknown
2000-02-04,Romania,Georgia,Romania,Unknown
2000-02-12,South Africa,Tunisia,South Africa,South Africa
2000-02-13,Nigeria,Cameroon,Cameroon,Nigeria
2000-02-19,United States,Colombia,Colombia,United States
2000-03-19,Suriname,Saint Lucia,Suriname,Unknown
2000-04-29,British Virgin Islands,Sint Maarten,British Virgin Islands,Unknown
2000-04-30,British Virgin Islands,Antigua and Barbuda,Antigua and Barbuda,Unknown
2000-05-10,Maldives,Sri Lanka,Sri Lanka,Unknown
2000-05-11,Senegal,Mali,Senegal,Unknown
2000-05-20,Malawi,Angola,Angola,Unknown
2000-05-21,Barbados,Cuba,Barbados,Unknown
2000-06-04,France,Japan,France,France
2000-06-07,Iran,Egypt,Egypt,Unknown
2000-06-11,Lesotho,Zambia,Lesotho,Unknown
2000-06-29,Netherlands,Italy,Italy,Italy
2000-07-14,Libya,Chad,Libya,Unknown
2000-07-16,Mozambique,Lesotho,Lesotho,Unknown
2000-09-03,Togo,Sierra Leone,Togo,Unknown
2000-10-04,United Arab Emirates,South Korea,United Arab Emirates,Unknown
2000-10-28,Kenya,Uganda,Uganda,Unknown
2000-12-02,Ethiopia,Rwanda,Ethiopia,Unknown
2001-01-17,China,Egypt,Egypt,Unknown
2001-01-27,South Korea,Paraguay,South Korea,Unknown
2001-02-11,Eswatini,Zambia,Eswatini,Unknown
2001-07-12,Ynys Môn,Jersey,Ynys Môn,Unknown
2001-07-13,Guernsey,Ynys Môn,Guernsey,Unknown
2001-07-29,Uruguay,Honduras,Honduras,Uruguay
2001-08-03,China,North Korea,North Korea,Unknown
2001-08-03,Kuwait,Trinidad and Tobago,Kuwait,Unknown
2001-08-05,Kuwait,North Korea,North Korea,Unknown
2001-08-18,Zambia,Angola,Angola,Unknown
2001-10-24,Kenya,Uganda,Kenya,Unknown
2001-10-24,Tanzania,DR Congo,Tanzania,Unknown
2001-12-18,Ethiopia,Burundi,Ethiopia,Unknown
2002-01-06,Martinique,Haiti,Martinique,Unknown
2002-01-26,Canada,Martinique,Canada,Canada
2002-01-27,Mexico,South Korea,South Korea,South Korea
2002-01-30,United States,Canada,United States,United States
2002-02-10,Senegal,Cameroon,Cameroon,Cameroon
2002-02-12,Cyprus,Switzerland,Cyprus,Unknown
2002-02-15,China,Slovenia,Slovenia,Unknown
2002-02-16,Thailand,North Korea,North Korea,Unknown
2002-03-30,Botswana,South Africa,South Africa,Unknown
2002-05-17,Russia,Belarus,Belarus,Unknown
2002-05-19,Russia,Serbia,Serbia,Unknown
2002-06-16,Spain,Republic of Ireland,Spain,Republic of Ireland
2002-06-22,South Korea,Spain,South Korea,South Korea
2002-07-21,South Africa,Madagascar,South Africa,Unknown
2002-09-05,Iraq,Iran,Iraq,Unknown
2002-09-07,Syria,Iran,Iran,Unknown
2002-09-17,Iran,Morocco,Iran,Unknown
2002-09-19,Iran,Paraguay,Iran,Unknown
2002-10-23,Kenya,South Africa,Kenya,Unknown
2002-10-26,Tanzania,South Africa,South Africa,Unknown
2002-10-26,Kenya,Uganda,Kenya,Unknown
2002-11-19,South Africa,Senegal,Senegal,Unknown
2002-12-27,Niger,Burkina Faso,Burkina Faso,Unknown
2002-12-29,Niger,Mali,Niger,Unknown
2003-01-20,Bangladesh,Maldives,Bangladesh,Unknown
2003-02-04,Uruguay,Iran,Uruguay,Iran
2003-03-07,Benin,Niger,Benin,Unknown
2003-03-15,Guadeloupe,French Guiana,Guadeloupe,Unknown
2003-03-22,Mozambique,Lesotho,Mozambique,Unknown
2003-03-27,Tunisia,Ghana,Tunisia,Unknown
2003-03-30,Ghana,Madagascar,Ghana,Unknown
2003-05-24,Botswana,Malawi,Malawi,Unknown
2003-07-09,New Caledonia,Vanuatu,New Caledonia,Unknown
2003-08-16,Malawi,Zambia,Malawi,Unknown
2003-09-24,Algeria,Gabon,Algeria,Unknown
2003-09-26,Algeria,Burkina Faso,Algeria,Unknown
2003-12-08,Kenya,Rwanda,Rwanda,Unknown
2003-12-08,Sudan,Uganda,Uganda,Unknown
2004-02-11,Tunisia,Nigeria,Tunisia,Tunisia
2004-02-19,Kazakhstan,Armenia,Kazakhstan,Unknown
2004-02-28,Lesotho,Botswana,Botswana,Unknown
2004-06-23,Jordan,Syria,Syria,Unknown
2004-06-24,Portugal,England,Portugal,England
2004-06-26,Sweden,Netherlands,Netherlands,Sweden
2004-07-18,Angola,Botswana,Angola,Unknown
2004-07-21,Uruguay,Brazil,Brazil,Brazil
2004-07-25,Argentina,Brazil,Brazil,Argentina
2004-07-30,Uzbekistan,Bahrain,Bahrain,Bahrain
2004-07-31,Japan,Jordan,Japan,Japan
2004-08-03,China,Iran,China,China
2004-10-22,Nigeria,Ecuador,Ecuador,Unknown
2004-10-24,Zimbabwe,Zambia,Zambia,Unknown
2004-11-20,Zambia,Angola,Angola,Unknown
2004-11-30,Thailand,Estonia,Thailand,Unknown
2004-11-30,Singapore,Hong Kong,Hong Kong,Unknown
2004-12-02,Thailand,Slovakia,Slovakia,Unknown
2004-12-03,Bahrain,Latvia,Bahrain,Unknown
2004-12-03,Finland,Oman,Oman,Unknown
2004-12-22,Ethiopia,Kenya,Ethiopia,Unknown
2004-12-24,Qatar,Oman,Qatar,Unknown
2005-02-08,Cyprus,Austria,Cyprus,Unknown
2005-02-09,Austria,Latvia,Latvia,Unknown
2005-02-27,Costa Rica,Honduras,Costa Rica,Unknown
2005-04-16,Namibia,Botswana,Botswana,Unknown
2005-05-15,Jersey,Guernsey,Guernsey,Unknown
2005-06-26,Mexico,Argentina,Argentina,Mexico
2005-07-17,South Africa,Panama,Panama,Panama
2005-07-24,United States,Panama,United States,Panama
2005-07-28,Kuwait,United Arab Emirates,United Arab Emirates,Unknown
2005-07-30,Egypt,United Arab Emirates,Egypt,Unknown
2005-08-13,South Africa,Zambia,Zambia,Unknown
2005-08-15,Ukraine,Israel,Israel,Unknown
2005-11-16,Australia,Uruguay,Australia,Australia
2005-12-10,Syria,Iraq,Iraq,Unknown
2005-12-10,Zanzibar,Uganda,Zanzibar,Unknown
2006-02-04,Nigeria,Tunisia,Nigeria,Nigeria
2006-02-04,Cameroon,Ivory Coast,Ivory Coast,Cameroon
2006-02-10,Egypt,Ivory Coast,Egypt,Egypt
2006-02-28,Finland,Kazakhstan,Kazakhstan,Unknown
2006-03-01,Finland,Belarus,Finland,Unknown
2006-04-29,Lesotho,Mozambique,Lesotho,Unknown
2006-04-30,Mauritius,Mozambique,Mozambique,Unknown
2006-05-21,Botswana,South Africa,Botswana,Unknown
2006-06-03,Northern Cyprus,Zanzibar,Northern Cyprus,Unknown
2006-06-26,Switzerland,Ukraine,Ukraine,Ukraine
2006-06-30,Germany,Argentina,Germany,Germany
2006-07-01,England,Portugal,Portugal,Portugal
2006-07-09,Italy,France,Italy,Italy
2006-07-22,Namibia,Seychelles,Seychelles,Unknown
2007-04-29,Mozambique,Zimbabwe,Mozambique,Unknown
2007-05-06,Guernsey,Jersey,Jersey,Unknown
2007-05-26,Malawi,South Africa,South Africa,Unknown
2007-05-26,Eswatini,Mauritius,Mauritius,Unknown
2007-07-10,Uruguay,Brazil,Brazil,Brazil
2007-07-21,Japan,Australia,Japan,Australia
2007-07-22,Iran,South Korea,South Korea,South Korea
2007-07-25,Iraq,South Korea,Iraq,South Korea
2007-07-28,South Korea,Japan,South Korea,South Korea
2007-07-29,Botswana,Angola,Botswana,Unknown
2007-08-18,Mauritius,Mayotte,Mayotte,Unknown
2007-08-18,Madagascar,Réunion,Réunion,Unknown
2007-10-24,South Africa,Zambia,South Africa,Unknown
2008-05-05,Jersey,Guernsey,Jersey,Unknown
2008-06-20,Croatia,Turkey,Turkey,Croatia
2008-06-22,Spain,Italy,Spain,Spain
2008-07-27,Zambia,Zimbabwe,Zambia,Unknown
2008-09-30,New Caledonia,Martinique,Martinique,Unknown
2009-06-26,Provence,Sápmi,Sápmi,Unknown
2009-07-23,Costa Rica,Mexico,Mexico,Mexico
2009-10-28,Zimbabwe,South Africa,Zimbabwe,Unknown
2010-01-25,Zambia,Nigeria,Nigeria,Zambia
2010-05-21,Corsica,Gabon,Corsica,Unknown
2010-06-29,Paraguay,Japan,Paraguay,Paraguay
2010-07-02,Uruguay,Ghana,Uruguay,Uruguay
2010-09-22,French Guiana,Mayotte,Mayotte,Unknown
2010-09-23,Guadeloupe,New Caledonia,New Caledonia,Unknown
2010-09-26,Guadeloupe,Tahiti,Tahiti,Unknown
2010-09-29,New Caledonia,Tahiti,Tahiti,Unknown
2010-10-02,Réunion,Martinique,Martinique,Unknown
2011-01-25,Japan,South Korea,Japan,Japan
2011-02-08,Romania,Ukraine,Ukraine,Unknown
2011-02-09,Sweden,Ukraine,Ukraine,Unknown
2011-05-08,Guernsey,Jersey,Jersey,Unknown
2011-06-08,Uruguay,Netherlands,Uruguay,Netherlands
2011-06-18,Costa Rica,Honduras,Honduras,Costa Rica
2011-06-19,Panama,El Salvador,Panama,Panama
2011-06-29,Saare County,Åland Islands,Åland Islands,Unknown
2011-06-30,Isle of Man,Menorca,Menorca,Unknown
2011-07-12,Saint Lucia,Aruba,Saint Lucia,Unknown
2011-07-16,Argentina,Uruguay,Uruguay,Argentina
2011-07-17,Brazil,Paraguay,Paraguay,Brazil
2011-07-20,Paraguay,Venezuela,Paraguay,Paraguay
2011-08-11,Mayotte,Mauritius,Mauritius,Unknown
2011-08-13,Seychelles,Mauritius,Seychelles,Unknown
2012-02-05,Gabon,Mali,Mali,Gabon
2012-02-12,Zambia,Ivory Coast,Zambia,Ivory Coast
2012-06-03,Finland,Latvia,Latvia,Finland
2012-06-17,Mozambique,Tanzania,Mozambique,Unknown
2012-06-24,England,Italy,Italy,Italy
2012-06-27,Portugal,Spain,Spain,Spain
2012-08-25,Alderney,Sealand,Sealand,Unknown
2012-09-02,India,Cameroon,India,Unknown
2012-09-29,Réunion,Martinique,Réunion,Unknown
2012-10-13,Uganda,Zambia,Zambia,Unknown
2012-11-21,Argentina,Brazil,Brazil,Argentina
2013-01-23,Sweden,North Korea,Sweden,Unknown
2013-02-02,South Africa,Mali,Mali,South Africa
2013-02-06,Burkina Faso,Ghana,Burkina Faso,Ghana
2013-06-27,Spain,Italy,Spain,Italy
2013-06-30,Uruguay,Italy,Italy,Uruguay
2013-07-13,Zimbabwe,Malawi,Zimbabwe,Unknown
2013-07-14,Angola,Lesotho,Lesotho,Unknown
2013-07-17,Zambia,South Africa,Zambia,Unknown
2014-05-05,Sealand,Chagos Islands,Chagos Islands,Unknown
2014-05-29,Latvia,Estonia,Latvia,Estonia
2014-06-04,Abkhazia,South Ossetia,South Ossetia,Unknown
2014-06-04,Ellan Vannin,Iraqi Kurdistan,Ellan Vannin,Unknown
2014-06-05,Padania,Abkhazia,Padania,Unknown
2014-06-05,Occitania,Iraqi Kurdistan,Iraqi Kurdistan,Unknown
2014-06-07,Padania,Iraqi Kurdistan,Padania,Unknown
2014-06-08,County of Nice,Ellan Vannin,County of Nice,Unknown
2014-06-28,Brazil,Chile,Brazil,Brazil
2014-06-29,Costa Rica,Greece,Costa Rica,Costa Rica
2014-07-05,Netherlands,Costa Rica,Netherlands,Costa Rica
2014-07-09,Netherlands,Argentina,Argentina,Netherlands
2015-01-23,Iran,Iraq,Iraq,Iran
2015-01-23,Japan,United Arab Emirates,United Arab Emirates,Japan
2015-01-30,Curaçao,Aruba,Aruba,Unknown
2015-02-07,Equatorial Guinea,DR Congo,DR Congo,Equatorial Guinea
2015-02-08,Ivory Coast,Ghana,Ivory Coast,Ghana
2015-05-24,Zambia,Namibia,Namibia,Unknown
2015-05-24,South Africa,Botswana,Botswana,Unknown
2015-05-25,Mozambique,Malawi,Mozambique,Unknown
2015-05-27,South Africa,Malawi,Malawi,Unknown
2015-06-21,Ellan Vannin,Felvidék,Ellan Vannin,Unknown
2015-06-26,Argentina,Colombia,Argentina,Colombia
2015-06-27,Brazil,Paraguay,Paraguay,Brazil
2015-07-02,Gibraltar,Åland Islands,Åland Islands,Unknown
2015-07-04,Chile,Argentina,Chile,Chile
2015-07-19,Trinidad and Tobago,Panama,Panama,Panama
2015-07-25,United States,Panama,Panama,United States
2015-10-13,El Salvador,Guatemala,Guatemala,Unknown
2016-05-27,Corsica,Basque Country,Basque Country,Unknown
2016-06-01,United Koreans in Japan,Northern Cyprus,Northern Cyprus,Unknown
2016-06-02,Iraqi Kurdistan,Padania,Padania,Unknown
2016-06-03,Bosnia and Herzegovina,Denmark,Bosnia and Herzegovina,Unknown
2016-06-03,Thailand,Syria,Thailand,Unknown
2016-06-03,Vietnam,Hong Kong,Vietnam,Unknown
2016-06-03,Iraqi Kurdistan,Western Armenia,Western Armenia,Unknown
2016-06-03,Chagos Islands,Raetia,Raetia,Unknown
2016-06-04,United Koreans in Japan,Iraqi Kurdistan,United Koreans in Japan,United Koreans in Japan
2016-06-05,Abkhazia,Panjab,Abkhazia,Unknown
2016-06-11,Papua New Guinea,New Zealand,New Zealand,New Zealand
